NAME,RATING,AREA,DISHES,APPROX,DISCOUNT,LOCATION
Table Tales,4.8,"Bodakdev, West Ahmedabad",Multicuisine,1500,10,Ahmedabad
Banjara- Gourmet Dining,4.5,"Bodakdev, West Ahmedabad",Multicuisine,1700,20,Ahmedabad
 Laurel - An Essence Of Flavors,5.0,"Ambli, Ahmedabad",Multicuisine,1800,20,Ahmedabad
The Chocolate Room,5.0,"Prahlad Nagar, West Ahmedabad",Bakery,500,35,Ahmedabad
Essence,4.5,"Crowne Plaza, Ahmedabad","Indian, North Indian",2000,50,Ahmedabad
Sphere Lounge,4.1,"Hotel Ramada, Ahmedabad","Continental, Indian",900,10,Ahmedabad
South Leaf - The Food Chain,4.4,"Prahlad Nagar, West Ahmedabad",South Indian,900,15,Ahmedabad
Bella Aroma,4.5,"Crowne Plaza, Ahmedabad",Cafe,700,25,Ahmedabad
La Milano Pizzeria,4.0,"Prahlad Nagar, West Ahmedabad",Pizza,500,25,Ahmedabad
Khichdi,1.0,"Prahlad Nagar, West Ahmedabad",Indian,700,25,Ahmedabad
The Shaka Cafe,4.1,"Prahlad Nagar, West Ahmedabad",Multicuisine,1000,10,Ahmedabad
Sky Grill,3.2,"Crowne Plaza, Ahmedabad","Indian, European",1800,25,Ahmedabad
Sundew,4.4,"Hotel Ramada, Ahmedabad",Multicuisine,1400,10,Ahmedabad
Gwalia Vanakkam,1.0,"Prahlad Nagar, West Ahmedabad",South Indian,800,20,Ahmedabad
1944 The Hocco Kitchen,5.0,"Prahlad Nagar, West Ahmedabad",North Indian,1000,10,Ahmedabad
Amritsar Haveli,4.1,"Prahlad Nagar, West Ahmedabad",Multicuisine,1100,30,Ahmedabad
Barbeque Nation,4.5,"Prahlad Nagar, West Ahmedabad",Multicuisine,1850,,Ahmedabad
Grill Kitchen,4.6,"Prahlad Nagar, West Ahmedabad",Multicuisine,700,15,Ahmedabad
Devi Coffee Day,5.0,"Satellite, West Ahmedabad","Cafe, Fast Food",600,15,Ahmedabad
Topspin,4.2,"Devarc Mall, Ramdev Nagar",Multicuisine,1200,15,Ahmedabad
Veranda Rooftop Restro Cafe,5.0,"Jodhpur Village, Ahmedabad",Multicuisine,800,25,Ahmedabad
The Chocolate Room Judges Bunglow,4.5,"Bodakdev, West Ahmedabad",Bakery,500,50,Ahmedabad
Fayrouz,4.8,"Prahlad Nagar, West Ahmedabad",Multicuisine,800,10,Ahmedabad
Express Cafe,4.2,Holiday Inn Express Ahmedabad Prahlad Nagar ,Multicuisine,600,25,Ahmedabad
Salad Time,4.0,"Prahlad Nagar, West Ahmedabad","Healthy Food, Salad",500,20,Ahmedabad
Kitcha: Together We Eat,5.0,"Prahlad Nagar, West Ahmedabad",Multicuisine,800,15,Ahmedabad
Fruitose,5.0,"Bopal, West Ahmedabad",Beverages,450,10,Ahmedabad
The Square - Novotel,4.2,"Novotel, Ahmedabad",Multicuisine,1500,35,Ahmedabad
Starboy Pizza,4.0,"Prahlad Nagar, West Ahmedabad","Desserts, Italian",300,,Ahmedabad
MAD By Tomato's,4.0,"Bodakdev, West Ahmedabad",Multicuisine,1500,10,Ahmedabad
Tuk Tuk Thai - Pure Veg Asian Fine Dine,5.0,"Bodakdev, West Ahmedabad",Asian,1200,10,Ahmedabad
Pizzaiiolo - The Wood Fired Pizza	,4.0,"Prahlad Nagar, West Ahmedabad",Pizza,600,20,Ahmedabad
Desi Rasoi,4.0,"Satellite, West Ahmedabad",Gujarati,800,20,Ahmedabad
Burnt Turnt,5.0,"Bopal, West Ahmedabad",North Indian,1800,40,Ahmedabad
Roastery Cultur - The Coffee Company,4.5,"Bodakdev, West Ahmedabad","Beverages, Coffee and Tea",700,10,Ahmedabad
Fozzie's Pizzaiolo,4.1,"Bodakdev, West Ahmedabad","Continental, Italian",900,20,Ahmedabad
Ishtaa - Truly South Indian,4.4,"Bodakdev, West Ahmedabad",South Indian,1000,,Ahmedabad
Cafe 1st Story- Fairfield By Marriott,4.3,Fairfield by Marriott Ahmedabad,Multicuisine,1200,50,Ahmedabad
Airi Cafe,4.7,"Bodakdev, West Ahmedabad",Bakery,600,20,Ahmedabad
 Moti Mahal Tandoori Trail,5.0,"Thaltej, West Ahmedabad",Multicuisine,1200,15,Ahmedabad
Rustic Spices Cafe And Restaurant,4.2,"Bopal, West Ahmedabad",Multicuisine,1000,20,Ahmedabad
The Trophy,5.0,"Makarba, Ahmedabad",Multicuisine,1500,15,Ahmedabad
Latte@work,4.3,"Courtyard By Marriott, Bodakdev, West Ahmedabad","Coffee, Continental",800,25,Ahmedabad
Daksheen Narmada - The Secret Spice,4.8,"Prahlad Nagar, West Ahmedabad",South Indian,1000,15,Ahmedabad
Tim Tim,5.0,"Bodakdev, West Ahmedabad",Asian,2000,,Ahmedabad
Aura,4.3,"Courtyard By Marriott, Bodakdev, West Ahmedabad",Multicuisine,2000,25,Ahmedabad
Three Quarter Indian,4.4,"Satellite, West Ahmedabad",Multicuisine,1200,30,Ahmedabad
Ishaara,4.6,"Palladium Mall , West Ahmedabad","Beverages, Modern Indian",1000,20,Ahmedabad
Iscon Thal,4.0,"Iscon Cross Road, West Ahmedabad",Gujarati,600,,Ahmedabad
Mirch Masala,5.0,"Satellite, West Ahmedabad","North Indian, Mughlai",1000,15,Ahmedabad
The House of Makeba,4.4,"Bodakdev, West Ahmedabad",Continental,1200,10,Ahmedabad
Toska ,4.0,"Bodakdev, West Ahmedabad",Fast Food,700,30,Ahmedabad
Dakshini24,4.0,"Bodakdev, West Ahmedabad",South Indian,400,25,Ahmedabad
Lithosphere By Upper Crust,4.1,"Bodakdev, West Ahmedabad",Multicuisine,1800,20,Ahmedabad
Sizzling Barbeque,4.4,"The Pride Hotel, Ahmedabad",Barbeque,700,30,Ahmedabad
Baba Budan Cafe,5.0,"Bodakdev, West Ahmedabad",Cafe,600,20,Ahmedabad
Kake Di Hatti,3.6,"Satellite, West Ahmedabad",North Indian,1000,,Ahmedabad
Tim Hortons,5.0,"Sindhubhavan Road, Ahmedabad",Cafe,600,20,Ahmedabad
The Starry Foliage,4.2,"Bopal, West Ahmedabad",Multicuisine,1100,10,Ahmedabad
The Penthouse Chapter 1- By Novel Chef,4.0,"Prahlad Nagar, West Ahmedabad",Multicuisine,1100,10,Ahmedabad
Amritsar 1971,4.0,"Sarkhej, West Ahmedabad",North Indian,200,20,Ahmedabad
Big Scoop Cafe,4.0,"Bodakdev, West Ahmedabad","Coffee, Cafe",350,20,Ahmedabad
Cafe Treat,4.2,"The Pride Hotel, Ahmedabad",Multicuisine,1800,30,Ahmedabad
Wave,4.3,DoubleTree by Hilton Ahmedabad,Multicuisine,2000,25,Ahmedabad
Sarây By Tanoor,4.0,"Bodakdev, West Ahmedabad",Middle Eastern,1500,,Ahmedabad
Union,4.0,"Ambli, Ahmedabad",Multicuisine,1800,,Ahmedabad
Cafezza Be Caffeinated,5.0,"Kudasan, Gandhinagar","Fast Food, Coffee",800,10,Ahmedabad
Mill & Co. - Renaissance hotel,4.8,Renaissance Ahmedabad Hotel,Modern Indian,1200,25,Ahmedabad
The Global Platter,4.0,"Prahlad Nagar, West Ahmedabad",Multicuisine,1000,20,Ahmedabad
Roastea,5.0,"Bopal, West Ahmedabad","Beverages, Cafe",400,15,Ahmedabad
Bayleaf,4.5,"Courtyard By Marriott, Ahmedabad",Indian,1500,25,Ahmedabad
Crazy Plant Lady- A Plant Boutique Cafe,4.0,"Bodakdev, West Ahmedabad",Continental,1000,,Ahmedabad
Winni Cakes & More,4.0,"Satellite, West Ahmedabad","Fast Food, Bakery",500,15,Ahmedabad
Cofficially,4.0,"Bodakdev, West Ahmedabad","Cafe, Coffee",400,15,Ahmedabad
Veranda Rooftop Restro Cafe,4.2,"Chandkheda, North Ahmedabad",Multicuisine,800,25,Ahmedabad
Curries,5.0,"Bodakdev, West Ahmedabad",Multicuisine,1200,10,Ahmedabad
Xia Rooftop Bistro ,5.0,"Bodakdev, West Ahmedabad",Multicuisine,1000,10,Ahmedabad
I love Sandwich House,4.0,"Bodakdev, West Ahmedabad","Cafe, Fast Food",900,10,Ahmedabad
Ab Chai Pe Charcha,4.0,"Jodhpur Village, Ahmedabad",Coffee and Tea,350,10,Ahmedabad
Eat Punjab	,4.0,"Bopal, West Ahmedabad",Mughlai,1000,15,Ahmedabad
Hobnob Bistro,4.4,"Bodakdev, West Ahmedabad","Fast Food, Multicuisine",800,25,Ahmedabad
Punjab Grill,4.0,"Palladium Mall , West Ahmedabad",North Indian,800,25,Ahmedabad
Amala,4.2,"Bodakdev, West Ahmedabad",Multicuisine,1100,10,Ahmedabad
Bigly,5.0,"Thaltej, West Ahmedabad",Multicuisine,1600,10,Ahmedabad
The Pancake Story,4.7,"Bodakdev, West Ahmedabad","Beverages, Desserts",500,10,Ahmedabad
Mad Over Grill,4.5,"Prahlad Nagar, West Ahmedabad",Multicuisine,1000,10,Ahmedabad
MoMo Café,4.1,"Courtyard By Marriott, Ahmedabad",Multicuisine,1300,25,Ahmedabad
Hotel Moti Mahal,1.0,"Makarba, Ahmedabad",Multicuisine,1000,,Ahmedabad
Java+,4.3,"Courtyard By Marriott, Ahmedabad","Cafe, Beverages",1000,25,Ahmedabad
Wat-A-Burger!,4.0,"Bodakdev, West Ahmedabad",Fast Food,350,10,Ahmedabad
Cravbit ,4.0,"Prahlad Nagar, West Ahmedabad",Bakery,400,10,Ahmedabad
Oven The Bakery,4.0,"Satellite, West Ahmedabad","Bakery, Cafe",600,10,Ahmedabad
Perfect Plate,4.0,"Thaltej, West Ahmedabad",Multicuisine,500,10,Ahmedabad
Bhullar's Butter Chicken,4.0,"Satellite, West Ahmedabad",North Indian,400,10,Ahmedabad
Level 1,4.0,"Thaltej, West Ahmedabad","Beverages, Multicuisine",1000,30,Ahmedabad
The Chocolate Room,5.0,"Makarba, Ahmedabad","Bakery, Cafe",400,25,Ahmedabad
Chenab By Bhullar's ,5.0,"Bodakdev, West Ahmedabad",North Indian,2500,10,Ahmedabad
Wat A Burger!,4.0,"Bodakdev, West Ahmedabad",Fast Food,600,25,Ahmedabad
Finch Brew Cafe,4.0,"Thaltej, West Ahmedabad",Multicuisine,1500,25,Ahmedabad
Govinda's,3.6,"Satellite, West Ahmedabad",Multicuisine,1000,20,Ahmedabad
Gwalia Vanakkam,4.0,"Palladium Mall, Thaltej",South Indian,800,20,Ahmedabad
Abi's Cafe ,5.0,"Bopal, West Ahmedabad",Cafe,600,15,Ahmedabad
Kovallam Restaurant: The South Indian Kitchen,4.5,"Satellite, West Ahmedabad",South Indian,700,10,Ahmedabad
Esencia Restaurant & Banquet,4.0,"Bopal, West Ahmedabad",North Indian,1200,30,Ahmedabad
Falashin Juices & Dishes,4.5,"Bodakdev, West Ahmedabad","Beverages, Cafe",700,15,Ahmedabad
Sazzy Sizzlers,4.6,"Thaltej, West Ahmedabad",Sizzlers,1000,35,Ahmedabad
Air Bistro,5.0,"Bodakdev, West Ahmedabad",Cafe,800,10,Ahmedabad
CHA,4.3,"Palladium Mall, Thaltej",Pan Asian,1450,15,Ahmedabad
Smash Cafe,4.0,"Bopal, West Ahmedabad",Fast Food,500,15,Ahmedabad
Chicago Pizza,4.0,"Bodakdev, West Ahmedabad",Pizza,600,15,Ahmedabad
Cafe Deli -Tel,4.0,"Novotel, Ahmedabad",Cafe,1500,15,Ahmedabad
Jalpaan Restaurant,4.3,"Thaltej, West Ahmedabad","Beverages, Multicuisine",900,25,Ahmedabad
Chai Hai Na,3.8,"Bopal, West Ahmedabad",Fast Food,400,15,Ahmedabad
Sazzy Sizzlers,4.4,"Navrangpura, West Ahmedabad",Sizzlers,1300,35,Ahmedabad
Mahamahal,4.7,"Thaltej, West Ahmedabad",Multicuisine,800,15,Ahmedabad
Collage,5.0,"Hyatt, Ahmedabad",Multicuisine,1700,50,Ahmedabad
Eat Punjab,4.5,"Chandkheda, North Ahmedabad",North Indian,800,15,Ahmedabad
Mehfil-E-Zaika Restaurant,4.0,"Juhapura, Ahmedabad",Multicuisine,800,10,Ahmedabad
Core The Coffee Shop By Upper Crust ,4.0,"Bodakdev, West Ahmedabad",Coffee,1500,10,Ahmedabad
Arbre,4.0,"Ambli, Ahmedabad",Multicuisine,1200,10,Ahmedabad
Boss Burger Brews & B.B.Q.S,4.0,"Bodakdev, West Ahmedabad",American,800,10,Ahmedabad
11 Inch Pie,4.0,"Prahlad Nagar, West Ahmedabad",Italian,500,10,Ahmedabad
Tres Amigos,3.9,"Thaltej, West Ahmedabad",Mexican,1000,20,Ahmedabad
Umami by Curries,4.3,"Ambavadi, West Ahmedabad",Multicuisine,1200,15,Ahmedabad
The Grill Street,4.6,"Satellite, West Ahmedabad",Barbeque,800,,Ahmedabad
Foo Palladium Ahmedabad,4.2,"Thaltej, West Ahmedabad","Asian, Chinese",2000,,Ahmedabad
Jalaram Khichdi Restaurant,3.5,"Bopal, West Ahmedabad",Gujarati,500,10,Ahmedabad
TG’s The Oriental Grill ,4.2,"Hyatt, Ahmedabad",Multicuisine,2500,25,Ahmedabad
Dakshini24,4.5,"Bodakdev, West Ahmedabad",South Indian,500,20,Ahmedabad
Mad Over Grills,4.0,"Mani Nagar, South Ahmedabad",Multicuisine,1000,10,Ahmedabad
Taco Bell,5.0,"Sarkhej, West Ahmedabad","Mexican, Tex-Mex",400,,Ahmedabad
Waffle Castle,5.0,"Satellite, West Ahmedabad",Desserts,200,,Ahmedabad
Kabhi B,5.0,"Satellite, West Ahmedabad",Bakery,300,,Ahmedabad
Cafe Patio,4.3,"Thaltej, West Ahmedabad",Italian,500,25,Ahmedabad
Ashray The Restaurant	,2.5,"Bodakdev, West Ahmedabad",Multicuisine,700,10,Ahmedabad
Cray Craft,4.5,"Andheri East, Western Suburbs","Chinese, Indian",2000,,Mumbai
Novaara,4.0,"Malad West, Western Suburbs",Multicuisine,1800,,Mumbai
Butterfly High,4.1,"Oshiwara, Western Suburbs",Modern Indian,2000,,Mumbai
Amelia,4.6,"Bandra Kurla Complex (BKC), Western Suburbs",European,3000,,Mumbai
Taftoon Bar & Kitchen,4.3,"Powai, Central Mumbai",Indian,2500,,Mumbai
La Panthera,4.6,"Bandra Kurla Complex (BKC), Western Suburbs",European,4000,,Mumbai
Baliboo,4.3,"Goregaon East, Western Suburbs",Multicuisine,1800,,Mumbai
Mahesh Lunch Home,4.8,"Fort, South Mumbai",Indian Coastal Cuisine,1200,,Mumbai
The Nutcracker,4.8,"Palladium Mall, Lower Parel",Multicuisine,1800,,Mumbai
Bayroute,4.5,"Palladium Mall, Lower Parel",Mediterranean,3000,,Mumbai
Sante Spa Cuisine,4.2,"Nesco Centre Hall, Mumbai",Multicuisine,1400,,Mumbai
The Tanjore Tiffin Room,4.4,"Khar, Western Suburbs",Tamil Nadu,1500,,Mumbai
Kitty Su,2.3,"The Lalit, Mumbai","Drinks Only, Finger Food, Cocktail Menu",2000,,Mumbai
The Caravan Menu,4.5,"Panch Pakhadi, Thane West",Multicuisine,2600,,Mumbai
Butterfly High,4.7,"Vikhroli, Central Mumbai",Multicuisine,3000,,Mumbai
Eve,4.5,"Santacruz West, Western Suburbs",European,2500,,Mumbai
Blabber All Day,4.8,"Borivali East, Western Suburbs","Continental, Asian",1500,,Mumbai
The Coconut Boy,3.2,"Bandra West, Western Suburbs",Goan,1200,,Mumbai
Eve,4.6,"Worli, South Mumbai",Multicuisine,2500,,Mumbai
Green Leaf Restaurant & Lounge - Thane,3.5,"Ghodbunder Road, Thane Region",Multicuisine,1500,,Mumbai
Kyma,4.5,"Bandra Kurla Complex (BKC), Western Suburbs","Mediterranean, Asian",2500,,Mumbai
Aer,4.9,"Four Seasons Hotel, Worli",Multicuisine,3000,,Mumbai
Gigi,4.1,"Bandra West, Western Suburbs","European, Japanese",3100,,Mumbai
Golden Delicacy Restaurant & Banquets,3.3,"Malad West, Western Suburbs",Multicuisine,1000,,Mumbai
Si Nonna's - The Original Sourdough Pizza,4.5,"Bandra Kurla Complex (BKC), Western Suburbs",Italian,1700,,Mumbai
PCO,4.4,"Lower Parel, South Mumbai",Multicuisine,3000,,Mumbai
Luuma House,4.7,"Juhu, Western Suburbs","Chinese, Japanese",2000,,Mumbai
Ditas,4.5,"Lower Parel, South Mumbai",European,2500,,Mumbai
Ekaa,4.5,"Fort, South Mumbai",Modern Indian,4000,,Mumbai
Khyber,4.3,"Fort, South Mumbai","North Indian, Mughlai",2500,,Mumbai
Papa Pancho da Dhaba,4.5,"Bandra West, Western Suburbs",North Indian,800,,Mumbai
Late Checkout,5.0,"Lower Parel, South Mumbai","European, Japanese",2500,,Mumbai
The Nutcracker,4.8,"Bandra Kurla Complex (BKC), Western Suburbs",Multicuisine,1800,,Mumbai
Mirage,4.2,"Krishna Curve, Juhu garden","Japanese, Asian",3500,,Mumbai
Ode,4.6,"Worli, South Mumbai",European,3000,,Mumbai
Bawri,4.6,"Bandra Kurla Complex (BKC), Western Suburbs",Regional Indian,1500,,Mumbai
The Nest,4.1,"Bandra West, Western Suburbs",Multicuisine,1800,,Mumbai
La Loca Maria,4.5,"Bandra West, Western Suburbs",Spanish,4000,,Mumbai
Los Cavos,4.6,"Bandra West, Western Suburbs",Peruvian,2000,,Mumbai
Estella,4.4,"Juhu, Western Suburbs",Pan Asian,3000,,Mumbai
Earth Cafe @ BKC,4.6,"Bandra Kurla Complex (BKC), Western Suburbs",European,1700,,Mumbai
Taj Mahal Tea House,4.7,"Bandra West, Western Suburbs",Multicuisine,1800,,Mumbai
Araku Coffee,5.0,"Colaba, South Mumbai","European, Desserts, Cafe",2000,,Mumbai
The Terreza Cafe,3.4,"Borivali West, Western Suburbs",Multicuisine,1350,,Mumbai
Fusion Ville,4.2,"Marol, Central Mumbai",Multicuisine,1200,30,Mumbai
Cacao- A Restrobar,4.0,"Aralia International Airport, Mumbai","Indian, Italian, Mexican",1200,30,Mumbai
Zytun- The Restaurant,4.3,"Hotel Metropolis, Mumbai",Multicuisine,1200,25,Mumbai
Thai Naam,4.7,"The Orb, Andheri East","Thai, Pan Asian",3000,25,Mumbai
The Brasserie BY HILTON MUMBAI ,4.3,"Hilton Mumbai, Mumbai",Multicuisine,2200,50,Mumbai
Heritage Kitchen & Bar,3.6,"Andheri East, Western Suburbs",Multicuisine,1000,20,Mumbai
Fiona,4.2,Radisson Blu Mumbai International Airport,"Cocktail Menu, Multicuisine",3000,50,Mumbai
MoMo Cafe,4.3,Courtyard Mumbai International Airport,Multicuisine,3000,25,Mumbai
Uttam Da Dhaba,4.3,"Marol, Central Mumbai",South Indian,1200,10,Mumbai
Rodeo Drive,4.0,"Hotel Peninsula Redpine, Mumbai","Italian, Mexican",1800,25,Mumbai
Lake View Cafe,4.4,The Westin Mumbai Powai Lake,Multicuisine,3000,25,Mumbai
Banjara,4.1,"Goldfinch Hotel, Mumbai",Multicuisine,2500,55,Mumbai
Castor,5.0,"Andheri East, Western Suburbs",Multicuisine,1200,40,Mumbai
24/7 Restaurant,4.4,"The Lalit, Mumbai",Multicuisine,3500,25,Mumbai
190 AMSL By Novotel,4.8,Novotel Mumbai International Airport,"Asian, Continental",995,50,Mumbai
ARC Powai,4.6,"Powai, Central Mumbai",Multicuisine,1500,25,Mumbai
Gourmet Bar By Novotel,4.8,Novotel Mumbai International Airport,Modern Indian,2500,35,Mumbai
Navya,4.5,"The Regale by Tunga, Mumbai",Multicuisine,850,25,Mumbai
Fly Kitchen and Bar,1.0,"Andheri East, Western Suburbs",Multicuisine,1700,20,Mumbai
Saptami,4.4,"Holiday Inn Mumbai International Airport, Mumbai",Multicuisine,2000,50,Mumbai
Axo Bar & Kitchen,3.8,"Andheri West, Western Suburbs","Greek, Mediterranean",1200,35,Mumbai
JW Cafe,4.5,"JW Marriott Mumbai Sahar, Mumbai",Multicuisine,4000,25,Mumbai
Food Exchange By Novotel,4.3,Novotel Mumbai International Airport,Multicuisine,2000,30,Mumbai
Vihara,4.6,"Tunga International, Mumbai",Multicuisine,750,,Mumbai
SMOOR,4.6,"Powai, Central Mumbai",European,600,10,Mumbai
Gallery Cafe,4.3,Radisson Mumbai Andheri MIDC,Multicuisine,2500,35,Mumbai
Roots Of India,4.5,"Marol, Central Mumbai",Multicuisine,1200,15,Mumbai
Pop Tate's,4.6,"Marol, Central Mumbai",Multicuisine,2000,,Mumbai
SPICE OASIS,4.1,"IRA BY ORCHID HOTELS, Mumbai",Multicuisine,1200,25,Mumbai
Tattva Bar & Cafe Mumbai,4.5,"Hotel Peninsula Redpine, Mumbai","Cocktail Menu, Multicuisine",1800,15,Mumbai
ChimiChurri,4.5,"Marol, Central Mumbai",Cocktail Menu,1700,,Mumbai
Gurukripa,4.5,"Powai, Central Mumbai",Indian,1400,10,Mumbai
The Game Ranch,4.3,"Powai, Central Mumbai",Multicuisine,2400,10,Mumbai
Machhli (Flavors of the Sea),4.0,"Andheri East, Western Suburbs",Seafood,600,15,Mumbai
Dhaba,5.0,"Marol, Central Mumbai",Multicuisine,800,10,Mumbai
Black Bull Cafe & Bar,4.8,"Powai, Central Mumbai","Indian, Chinese",1300,25,Mumbai
NUSARA Kitchen & Bar,4.2,Ramee Guestline Hotel Juhu,"Chinese, Japanese, Pan Asian",1500,40,Mumbai
British Brewing Company,4.1,"Marol, Central Mumbai","Cocktail Menu, Multicuisine",1500,20,Mumbai
Foo Powai,4.5,"Powai, Central Mumbai","Chinese, Asian",2000,,Mumbai
Brew Code- Holiday Inn,5.0,"Holiday Inn Mumbai International Airport, Mumbai","Cafe, Bakery",800,50,Mumbai
Toast - Bistro & Bar,4.4,"Marol, Central Mumbai","Finger Food, Cocktail Menu",2000,25,Mumbai
The Barn Grill,5.0,"Andheri East, Western Suburbs",American,1000,10,Mumbai
Lucy Lou,3.8,"Andheri East, Western Suburbs","Turkish, Modern Indian, Pan Asian",1500,20,Mumbai
Mayouchi,4.5,The Westin Mumbai Powai Lake,"Japanese, oriental",2000,25,Mumbai
TAP ,4.0,"Sakinaka, Central Mumbai",Multicuisine,1400,15,Mumbai
Episode One,4.3,"Powai, Central Mumbai",Finger Food,1400,15,Mumbai
Pickle & Pint,4.5,"The Paradise By Tunga, Mumbai","Cocktail Menu, Multicuisine",1400,10,Mumbai
Indriya Mishran,5.0,"Andheri East, Western Suburbs",Multicuisine,1600,10,Mumbai
HITCHKI,4.5,"Powai, Central Mumbai",Modern Indian,1200,,Mumbai
The Finch,4.3,"Andheri East, Western Suburbs",Multicuisine,1600,25,Mumbai
Global Buffet,3.9,"Svenska Design Hotel, Mumbai",Multicuisine,1500,,Mumbai
Lord Of The Drinks,4.3,"Powai, Central Mumbai","Cocktail Menu, Multicuisine",1500,10,Mumbai
TAT,4.8,"Vikhroli, Central Mumbai","Indian Coastal Cuisine, North Indian",1600,10,Mumbai
Brik - The Sports Bar,3.6,"Fort, South Mumbai",Pan Asian,1700,,Mumbai
Courtyard Pavilion,4.5,Courtyard By Marriott Navi Mumbai,Multicuisine,1500,30,Mumbai
Bisou,3.5,Fairfield by Marriott Mumbai International Airport,"Finger Food, Cocktail Menu",2000,30,Mumbai
Romano's,4.6,"JW Marriott Mumbai Sahar, Mumbai",Italian,4000,25,Mumbai
Malhar Tribes,4.5,"Marol, Central Mumbai",Multicuisine,1600,10,Mumbai
Crimson,5.0,"Marriott Executive Apartments, Powai",Multicuisine,2000,20,Mumbai
Peshawri,4.4,"ITC Maratha, Mumbai","Indian, North West Frontier",4000,10,Mumbai
Nosh & Beyond,4.2,"Andheri East, Western Suburbs","Italian, Multicuisine, Continental",1200,10,Mumbai
Just Kerala,4.6,"Chakala, Andheri East, Western Suburbs",Kerala,850,,Mumbai
Asia Kitchen By Mainland China,4.4,"Sakinaka, Central Mumbai",Pan Asian,1200,20,Mumbai
Lounge Bar BY HILTON MUMBAI ,3.9,"Hilton Mumbai, Mumbai","Cocktail Menu, Finger Food",2000,30,Mumbai
The Tipsy Tiger Garden Bar.,5.0,"Andheri East, Western Suburbs",Asian,1100,20,Mumbai
Citrus,4.4,"The Leela, Mumbai",European,3000,25,Mumbai
Global Coffee House & Eatery,4.0,"Bloom Hotel - Saki Vihar, Powai",Multicuisine,2500,40,Mumbai
The Green Table,4.2,"Mulund West, Central Mumbai",Continental,750,20,Mumbai
Peshwa Pavilion,4.4,"ITC Maratha, Mumbai",Multicuisine,4000,10,Mumbai
Ummrao,4.4,Courtyard Mumbai International Airport,Indian,1500,25,Mumbai
Global Fusion,4.5,"Marol, Central Mumbai",Pan Asian,3000,10,Mumbai
AB's - Absolute Barbecues,4.6,"Powai, Central Mumbai","Multicuisine, Barbeque",1850,,Mumbai
The Earth Plate - Global Cuisine ,4.3,"Sahara Star, Mumbai","Chinese, Italian, Indian, Continental",4500,30,Mumbai
Hornby's Pavilion,4.5,"ITC Grand Central, Mumbai",Multicuisine,4500,25,Mumbai
Pleo,4.3,"Bandra Kurla Complex (BKC), Western Suburbs",Multicuisine,1650,10,Mumbai
Something's Fishy,4.6,"Tunga International, Mumbai",Seafood,1700,10,Mumbai
Baluchi,4.3,"The Lalit, Mumbai",North Indian,3500,25,Mumbai
Aroma Street,4.8,"Hotel Le Grande, Mumbai",Multicuisine,600,20,Mumbai
Punjab Grill	,3.9,"R City Mall, Ghatkopar West",North Indian,1100,25,Mumbai
Citrus Cafe,3.2,"Lemon Tree Premier, Mumbai International Airport",Multicuisine,1800,25,Mumbai
Fisherman's Cove - Taste On Palate,4.4,"Chandivali, Central Mumbai","Seafood, Multicuisine",800,15,Mumbai
Barbeque Nation,4.4,"Sakinaka, Central Mumbai",Multicuisine,1500,,Mumbai
Lotus Cafe,4.5,JW Marriott Mumbai Juhu,Multicuisine,2800,10,Mumbai
Jw Lounge,4.0,"JW Marriott Mumbai Sahar, Mumbai",Cocktail Menu,3500,25,Mumbai
China Gate,4.7,"Sakinaka, Central Mumbai",Chinese,1500,15,Mumbai
Eve,4.6,"Powai, Central Mumbai",European,2500,10,Mumbai
Angrezi Dhaba,3.8,"Andheri East, Western Suburbs","Indian, Cocktail Menu",1100,10,Mumbai
