NAME,RATING,AREA,DISHES,APPROX,DISC
Table Tales,4.8,"Bodakdev, West Ahmedabad",Multicuisine,₹ 1500 for two approx.,10% Off + 25% Off
Banjara- Gourmet Dining,4.5,"Bodakdev, West Ahmedabad",Multicuisine,₹ 1700 for two approx.,20% Off + 25% Off
 Laurel - An Essence Of Flavors,5.0,"Ambli, Ahmedabad",Multicuisine,₹ 1800 for two approx.,20% Off + 25% Off
The Chocolate Room,5.0,"Prahlad Nagar, West Ahmedabad  | View All(19) Outlets",Bakery,₹ 500 for two approx.,35% Off + 25% Off
Essence,4.5,"Crowne Plaza, Ahmedabad","Indian, North Indian",₹ 2000 for two approx.,50% Off + 25% Off
Sphere Lounge,4.1,"Hotel Ramada, Ahmedabad","Continental, Indian",₹ 900 for two approx.,10% Off + 25% Off
South Leaf - The Food Chain,4.4,"Prahlad Nagar, West Ahmedabad",South Indian,₹ 900 for two approx.,15% Off + 25% Off
Bella Aroma,4.5,"Crowne Plaza, Ahmedabad",Cafe,₹ 700 for two approx.,25% Off + 25% Off
La Milano Pizzeria,4.0,"Prahlad Nagar, West Ahmedabad",Pizza,₹ 500 for two approx.,25% Off + 25% Off
Khichdi,1.0,"Prahlad Nagar, West Ahmedabad",Indian,₹ 700 for two approx.,25% Off + 25% Off
The Shaka Cafe,4.1,"Prahlad Nagar, West Ahmedabad",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
Sky Grill,3.2,"Crowne Plaza, Ahmedabad","Indian, European",₹ 1800 for two approx.,25% Off + 25% Off
Sundew,4.4,"Hotel Ramada, Ahmedabad",Multicuisine,₹ 1400 for two approx.,10% Off + 25% Off
Gwalia Vanakkam,1.0,"Prahlad Nagar, West Ahmedabad",South Indian,₹ 800 for two approx.,20% Off + 25% Off
1944 The Hocco Kitchen,5.0,"Prahlad Nagar, West Ahmedabad  | View All(8) Outlets",North Indian,₹ 1000 for two approx.,10% Off + 25% Off
Amritsar Haveli,4.1,"Prahlad Nagar, West Ahmedabad",Multicuisine,₹ 1100 for two approx.,30% Off + 25% Off
Barbeque Nation,4.5,"Prahlad Nagar, West Ahmedabad  | View All(2) Outlets",Multicuisine,₹ 1850 for two approx.,25% Off :Payeazy
Grill Kitchen,4.6,"Prahlad Nagar, West Ahmedabad  | View All(4) Outlets",Multicuisine,₹ 700 for two approx.,15% Off + 25% Off
Devi Coffee Day,5.0,"Satellite, West Ahmedabad","Cafe, Fast Food",₹ 600 for two approx.,15% Off + 25% Off
Topspin,4.2,"Devarc Mall, Ramdev Nagar",Multicuisine,₹ 1200 for two approx.,15% Off + 25% Off
Veranda Rooftop Restro Cafe,5.0,"Jodhpur Village, Ahmedabad",Multicuisine,₹ 800 for two approx.,25% Off + 25% Off
The Chocolate Room Judges Bunglow,4.5,"Bodakdev, West Ahmedabad",Bakery,₹ 500 for two approx.,50% Off + 25% Off
Fayrouz,4.8,"Prahlad Nagar, West Ahmedabad",Multicuisine,₹ 800 for two approx.,10% Off + 25% Off
Express Cafe,4.2,Holiday Inn Express Ahmedabad Prahlad Nagar ,Multicuisine,₹ 600 for two approx.,25% Off + 25% Off
Salad Time,4.0,"Prahlad Nagar, West Ahmedabad","Healthy Food, Salad",₹ 500 for two approx.,20% Off + 25% Off
Kitcha: Together We Eat,5.0,"Prahlad Nagar, West Ahmedabad",Multicuisine,₹ 800 for two approx.,15% Off + 25% Off
Fruitose,5.0,"Bopal, West Ahmedabad",Beverages,₹ 450 for two approx.,10% Off + 25% Off
The Square - Novotel,4.2,"Novotel, Ahmedabad",Multicuisine,₹ 1500 for two approx.,35% Off + 25% Off
Starboy Pizza,4.0,"Prahlad Nagar, West Ahmedabad","Desserts, Italian",₹ 300 for two approx.,25% Off :Payeazy
MAD By Tomato's,4.0,"Bodakdev, West Ahmedabad  | View All(3) Outlets",Multicuisine,₹ 1500 for two approx.,10% Off + 25% Off
Tuk Tuk Thai - Pure Veg Asian Fine Dine,5.0,"Bodakdev, West Ahmedabad",Asian,₹ 1200 for two approx.,10% Off + 25% Off
Pizzaiiolo - The Wood Fired Pizza	,4.0,"Prahlad Nagar, West Ahmedabad  | View All(3) Outlets",Pizza,₹ 600 for two approx.,20% Off + 25% Off
Desi Rasoi,4.0,"Satellite, West Ahmedabad",Gujarati,₹ 800 for two approx.,20% Off + 25% Off
Burnt Turnt,5.0,"Bopal, West Ahmedabad",North Indian,₹ 1800 for two approx.,40% Off + 25% Off
Roastery Cultur - The Coffee Company,4.5,"Bodakdev, West Ahmedabad","Beverages, Coffee and Tea",₹ 700 for two approx.,10% Off + 25% Off
Fozzie's Pizzaiolo,4.1,"Bodakdev, West Ahmedabad","Continental, Italian",₹ 900 for two approx.,20% Off + 25% Off
Ishtaa - Truly South Indian,4.4,"Bodakdev, West Ahmedabad",South Indian,₹ 1000 for two approx.,25% Off :Payeazy
Cafe 1st Story- Fairfield By Marriott,4.3,Fairfield by Marriott Ahmedabad,Multicuisine,₹ 1200 for two approx.,50% Off + 25% Off
Airi Cafe,4.7,"Bodakdev, West Ahmedabad",Bakery,₹ 600 for two approx.,20% Off + 25% Off
 Moti Mahal Tandoori Trail,5.0,"Thaltej, West Ahmedabad",Multicuisine,₹ 1200 for two approx.,15% Off + 25% Off
Rustic Spices Cafe And Restaurant,4.2,"Bopal, West Ahmedabad",Multicuisine,₹ 1000 for two approx.,20% Off + 25% Off
The Trophy,5.0,"Makarba, Ahmedabad",Multicuisine,₹ 1500 for two approx.,15% Off + 25% Off
Latte@work,4.3,"Courtyard By Marriott, Bodakdev, West Ahmedabad","Coffee, Continental",₹ 800 for two approx.,25% Off + 25% Off
Daksheen Narmada - The Secret Spice,4.8,"Prahlad Nagar, West Ahmedabad",South Indian,₹ 1000 for two approx.,15% Off + 25% Off
Tim Tim,5.0,"Bodakdev, West Ahmedabad",Asian,₹ 2000 for two approx.,25% Off :Payeazy
Aura,4.3,"Courtyard By Marriott, Bodakdev, West Ahmedabad",Multicuisine,₹ 2000 for two approx.,25% Off + 25% Off
Three Quarter Indian,4.4,"Satellite, West Ahmedabad",Multicuisine,₹ 1200 for two approx.,30% Off + 25% Off
Ishaara,4.6,"Palladium Mall , West Ahmedabad","Beverages, Modern Indian",₹ 1000 for two approx.,20% Off + 25% Off
Iscon Thal,4.0,"Iscon Cross Road, West Ahmedabad",Gujarati,₹ 600 for two approx.,25% Off :Payeazy
Mirch Masala,5.0,"Satellite, West Ahmedabad  | View All(6) Outlets","North Indian, Mughlai",₹ 1000 for two approx.,15% Off + 25% Off
The House of Makeba,4.4,"Bodakdev, West Ahmedabad  | View All(4) Outlets",Continental,₹ 1200 for two approx.,10% Off + 25% Off
Toska ,4.0,"Bodakdev, West Ahmedabad",Fast Food,₹ 700 for two approx.,30% Off + 25% Off
Dakshini24,4.0,"Bodakdev, West Ahmedabad",South Indian,₹ 400 for two approx.,25% Off + 25% Off
Lithosphere By Upper Crust,4.1,"Bodakdev, West Ahmedabad",Multicuisine,₹ 1800 for two approx.,20% Off + 25% Off
Sizzling Barbeque,4.4,"The Pride Hotel, Ahmedabad",Barbeque,₹ 700 for two approx.,30% Off + 25% Off
Baba Budan Cafe,5.0,"Bodakdev, West Ahmedabad",Cafe,₹ 600 for two approx.,20% Off + 25% Off
Kake Di Hatti,3.6,"Satellite, West Ahmedabad",North Indian,₹ 1000 for two approx.,25% Off :Payeazy
Tim Hortons,5.0,"Sindhubhavan Road, Ahmedabad",Cafe,₹ 600 for two approx.,20% Off + 25% Off
The Starry Foliage,4.2,"Bopal, West Ahmedabad",Multicuisine,₹ 1100 for two approx.,10% Off + 25% Off
The Penthouse Chapter 1- By Novel Chef,4.0,"Prahlad Nagar, West Ahmedabad",Multicuisine,₹ 1100 for two approx.,10% Off + 25% Off
Amritsar 1971,4.0,"Sarkhej, West Ahmedabad",North Indian,₹ 200 for two approx.,20% Off + 25% Off
Big Scoop Cafe,4.0,"Bodakdev, West Ahmedabad  | View All(2) Outlets","Coffee, Cafe",₹ 350 for two approx.,20% Off + 25% Off
Cafe Treat,4.2,"The Pride Hotel, Ahmedabad",Multicuisine,₹ 1800 for two approx.,30% Off + 25% Off
Wave,4.3,DoubleTree by Hilton Ahmedabad,Multicuisine,₹ 2000 for two approx.,25% Off + 25% Off
Sarây By Tanoor,4.0,"Bodakdev, West Ahmedabad",Middle Eastern,₹ 1500 for two approx.,25% Off :Payeazy
Union,4.0,"Ambli, Ahmedabad",Multicuisine,₹ 1800 for two approx.,25% Off :Payeazy
Cafezza Be Caffeinated,5.0,"Kudasan, Gandhinagar","Fast Food, Coffee",₹ 800 for two approx.,10% Off + 25% Off
Mill & Co. - Renaissance hotel,4.8,Renaissance Ahmedabad Hotel,Modern Indian,₹ 1200 for two approx.,25% Off + 25% Off
The Global Platter,4.0,"Prahlad Nagar, West Ahmedabad",Multicuisine,₹ 1000 for two approx.,20% Off + 25% Off
Roastea,5.0,"Bopal, West Ahmedabad","Beverages, Cafe",₹ 400 for two approx.,15% Off + 25% Off
Bayleaf,4.5,"Courtyard By Marriott, Ahmedabad",Indian,₹ 1500 for two approx.,25% Off + 25% Off
Crazy Plant Lady- A Plant Boutique Cafe,4.0,"Bodakdev, West Ahmedabad  | View All(2) Outlets",Continental,₹ 1000 for two approx.,25% Off :Payeazy
Winni Cakes & More,4.0,"Satellite, West Ahmedabad","Fast Food, Bakery",₹ 500 for two approx.,15% Off + 25% Off
Cofficially,4.0,"Bodakdev, West Ahmedabad","Cafe, Coffee",₹ 400 for two approx.,15% Off + 25% Off
Veranda Rooftop Restro Cafe,4.2,"Chandkheda, North Ahmedabad",Multicuisine,₹ 800 for two approx.,25% Off + 25% Off
Curries,5.0,"Bodakdev, West Ahmedabad",Multicuisine,₹ 1200 for two approx.,10% Off + 25% Off
Xia Rooftop Bistro ,5.0,"Bodakdev, West Ahmedabad",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
I love Sandwich House,4.0,"Bodakdev, West Ahmedabad","Cafe, Fast Food",₹ 900 for two approx.,10% Off + 25% Off
Ab Chai Pe Charcha,4.0,"Jodhpur Village, Ahmedabad",Coffee and Tea,₹ 350 for two approx.,10% Off + 25% Off
Eat Punjab	,4.0,"Bopal, West Ahmedabad",Mughlai,₹ 1000 for two approx.,15% Off + 25% Off
Hobnob Bistro,4.4,"Bodakdev, West Ahmedabad","Fast Food, Multicuisine",₹ 800 for two approx.,25% Off + 25% Off
Punjab Grill,4.0,"Palladium Mall , West Ahmedabad",North Indian,₹ 800 for two approx.,25% Off + 25% Off
Amala,4.2,"Bodakdev, West Ahmedabad",Multicuisine,₹ 1100 for two approx.,10% Off + 25% Off
Bigly,5.0,"Thaltej, West Ahmedabad",Multicuisine,₹ 1600 for two approx.,10% Off + 25% Off
The Pancake Story,4.7,"Bodakdev, West Ahmedabad","Beverages, Desserts",₹ 500 for two approx.,10% Off + 25% Off
Mad Over Grill,4.5,"Prahlad Nagar, West Ahmedabad",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
MoMo Café,4.1,"Courtyard By Marriott, Ahmedabad",Multicuisine,₹ 1300 for two approx.,25% Off + 25% Off
Hotel Moti Mahal,1.0,"Makarba, Ahmedabad",Multicuisine,₹ 1000 for two approx.,25% Off :Payeazy
Java+,4.3,"Courtyard By Marriott, Ahmedabad","Cafe, Beverages",₹ 1000 for two approx.,25% Off + 25% Off
Wat-A-Burger!,4.0,"Bodakdev, West Ahmedabad  | View All(3) Outlets",Fast Food,₹ 350 for two approx.,10% Off + 25% Off
Cravbit ,4.0,"Prahlad Nagar, West Ahmedabad",Bakery,₹ 400 for two approx.,10% Off + 25% Off
Oven The Bakery,4.0,"Satellite, West Ahmedabad","Bakery, Cafe",₹ 600 for two approx.,10% Off + 25% Off
Perfect Plate,4.0,"Thaltej, West Ahmedabad",Multicuisine,₹ 500 for two approx.,10% Off + 25% Off
Bhullar's Butter Chicken,4.0,"Satellite, West Ahmedabad",North Indian,₹ 400 for two approx.,10% Off + 25% Off
Level 1,4.0,"Thaltej, West Ahmedabad","Beverages, Multicuisine",₹ 1000 for two approx.,30% Off + 25% Off
The Chocolate Room,5.0,"Makarba, Ahmedabad","Bakery, Cafe",₹ 400 for two approx.,25% Off + 25% Off
Chenab By Bhullar's ,5.0,"Bodakdev, West Ahmedabad",North Indian,₹ 2500 for two approx.,10% Off + 25% Off
Wat A Burger!,4.0,"Bodakdev, West Ahmedabad",Fast Food,₹ 600 for two approx.,25% Off + 25% Off
Finch Brew Cafe,4.0,"Thaltej, West Ahmedabad",Multicuisine,₹ 1500 for two approx.,25% Off + 25% Off
Govinda's,3.6,"Satellite, West Ahmedabad",Multicuisine,₹ 1000 for two approx.,20% Off + 25% Off
Gwalia Vanakkam,4.0,"Palladium Mall, Thaltej",South Indian,₹ 800 for two approx.,20% Off + 25% Off
Abi's Cafe ,5.0,"Bopal, West Ahmedabad",Cafe,₹ 600 for two approx.,15% Off + 25% Off
Kovallam Restaurant: The South Indian Kitchen,4.5,"Satellite, West Ahmedabad",South Indian,₹ 700 for two approx.,10% Off + 25% Off
Esencia Restaurant & Banquet,4.0,"Bopal, West Ahmedabad",North Indian,₹ 1200 for two approx.,30% Off + 25% Off
Falashin Juices & Dishes,4.5,"Bodakdev, West Ahmedabad","Beverages, Cafe",₹ 700 for two approx.,15% Off + 25% Off
Sazzy Sizzlers,4.6,"Thaltej, West Ahmedabad",Sizzlers,₹ 1000 for two approx.,35% Off + 25% Off
Air Bistro,5.0,"Bodakdev, West Ahmedabad",Cafe,₹ 800 for two approx.,10% Off + 25% Off
CHA,4.3,"Palladium Mall, Thaltej",Pan Asian,₹ 1450 for two approx.,15% Off + 25% Off
Smash Cafe,4.0,"Bopal, West Ahmedabad",Fast Food,₹ 500 for two approx.,15% Off + 25% Off
Chicago Pizza,4.0,"Bodakdev, West Ahmedabad  | View All(6) Outlets",Pizza,₹ 600 for two approx.,15% Off + 25% Off
Cafe Deli -Tel,4.0,"Novotel, Ahmedabad",Cafe,₹ 1500 for two approx.,15% Off + 25% Off
Jalpaan Restaurant,4.3,"Thaltej, West Ahmedabad","Beverages, Multicuisine",₹ 900 for two approx.,25% Off + 25% Off
Chai Hai Na,3.8,"Bopal, West Ahmedabad",Fast Food,₹ 400 for two approx.,15% Off + 25% Off
Sazzy Sizzlers,4.4,"Navrangpura, West Ahmedabad",Sizzlers,₹ 1300 for two approx.,35% Off + 25% Off
Mahamahal,4.7,"Thaltej, West Ahmedabad",Multicuisine,₹ 800 for two approx.,15% Off + 25% Off
Collage,5.0,"Hyatt, Ahmedabad",Multicuisine,₹ 1700 for two approx.,50% Off + 25% Off
Eat Punjab,4.5,"Chandkheda, North Ahmedabad",North Indian,₹ 800 for two approx.,15% Off + 25% Off
Mehfil-E-Zaika Restaurant,4.0,"Juhapura, Ahmedabad",Multicuisine,₹ 800 for two approx.,10% Off + 25% Off
Core The Coffee Shop By Upper Crust ,4.0,"Bodakdev, West Ahmedabad",Coffee,₹ 1500 for two approx.,10% Off + 25% Off
Arbre,4.0,"Ambli, Ahmedabad",Multicuisine,₹ 1200 for two approx.,10% Off + 25% Off
Boss Burger Brews & B.B.Q.S,4.0,"Bodakdev, West Ahmedabad",American,₹ 800 for two approx.,10% Off + 25% Off
11 Inch Pie,4.0,"Prahlad Nagar, West Ahmedabad",Italian,₹ 500 for two approx.,10% Off + 25% Off
Tres Amigos,3.9,"Thaltej, West Ahmedabad",Mexican,₹ 1000 for two approx.,20% Off + 25% Off
Umami by Curries,4.3,"Ambavadi, West Ahmedabad",Multicuisine,₹ 1200 for two approx.,15% Off + 25% Off
The Grill Street,4.6,"Satellite, West Ahmedabad",Barbeque,₹ 800 for two approx.,25% Off :Payeazy
Foo Palladium Ahmedabad,4.2,"Thaltej, West Ahmedabad","Asian, Chinese",₹ 2000 for two approx.,Cover Charge + 25% Off
Jalaram Khichdi Restaurant,3.5,"Bopal, West Ahmedabad",Gujarati,₹ 500 for two approx.,10% Off + 25% Off
TG’s The Oriental Grill ,4.2,"Hyatt, Ahmedabad",Multicuisine,₹ 2500 for two approx.,25% Off + 25% Off
Dakshini24,4.5,"Bodakdev, West Ahmedabad",South Indian,₹ 500 for two approx.,20% Off + 25% Off
Mad Over Grills,4.0,"Mani Nagar, South Ahmedabad",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
Taco Bell,5.0,"Sarkhej, West Ahmedabad  | View All(2) Outlets","Mexican, Tex-Mex",₹ 400 for two approx.,25% Off :Payeazy
Waffle Castle,5.0,"Satellite, West Ahmedabad",Desserts,₹ 200 for two approx.,25% Off :Payeazy
Kabhi B,5.0,"Satellite, West Ahmedabad  | View All(62) Outlets",Bakery,₹ 300 for two approx.,25% Off :Payeazy
Cafe Patio,4.3,"Thaltej, West Ahmedabad",Italian,₹ 500 for two approx.,25% Off + 25% Off
Ashray The Restaurant	,2.5,"Bodakdev, West Ahmedabad  | View All(1) Outlets",Multicuisine,₹ 700 for two approx.,10% Off + 25% Off
Cray Craft,4.5,"Andheri East, Western Suburbs","Chinese, Indian",₹ 2000 for two approx.,25% Off
Novaara,4.0,"Malad West, Western Suburbs",Multicuisine,₹ 1800 for two approx.,25% Off
Butterfly High,4.1,"Oshiwara, Western Suburbs  | View All(4) Outlets",Modern Indian,₹ 2000 for two approx.,25% Off
Amelia,4.6,"Bandra Kurla Complex (BKC), Western Suburbs",European,₹ 3000 for two approx.,25% Off
Taftoon Bar & Kitchen,4.3,"Powai, Central Mumbai",Indian,₹ 2500 for two approx.,25% Off
La Panthera,4.6,"Bandra Kurla Complex (BKC), Western Suburbs",European,₹ 4000 for two approx.,25% Off
Baliboo,4.3,"Goregaon East, Western Suburbs",Multicuisine,₹ 1800 for two approx.,25% Off
Mahesh Lunch Home,4.8,"Fort, South Mumbai  | View All(5) Outlets",Indian Coastal Cuisine,₹ 1200 for two approx.,25% Off
The Nutcracker,4.8,"Palladium Mall, Lower Parel",Multicuisine,₹ 1800 for two approx.,25% Off
Bayroute,4.5,"Palladium Mall, Lower Parel  | View All(5) Outlets",Mediterranean,₹ 3000 for two approx.,25% Off
Sante Spa Cuisine,4.2,"Nesco Centre Hall, Mumbai",Multicuisine,₹ 1400 for two approx.,25% Off
The Tanjore Tiffin Room,4.4,"Khar, Western Suburbs  | View All(2) Outlets",Tamil Nadu,₹ 1500 for two approx.,25% Off
Kitty Su,2.3,"The Lalit, Mumbai","Drinks Only, Finger Food, Cocktail Menu",₹ 2000 for two approx.,25% Off
The Caravan Menu,4.5,"Panch Pakhadi, Thane West",Multicuisine,₹ 2600 for two approx.,25% Off
Butterfly High,4.7,"Vikhroli, Central Mumbai",Multicuisine,₹ 3000 for two approx.,25% Off
Eve,4.5,"Santacruz West, Western Suburbs",European,₹ 2500 for two approx.,25% Off
Blabber All Day,4.8,"Borivali East, Western Suburbs","Continental, Asian",₹ 1500 for two approx.,25% Off
The Coconut Boy,3.2,"Bandra West, Western Suburbs",Goan,₹ 1200 for two approx.,25% Off
Eve,4.6,"Worli, South Mumbai",Multicuisine,₹ 2500 for two approx.,25% Off
Green Leaf Restaurant & Lounge - Thane,3.5,"Ghodbunder Road, Thane Region",Multicuisine,₹ 1500 for two approx.,25% Off
Kyma,4.5,"Bandra Kurla Complex (BKC), Western Suburbs","Mediterranean, Asian",₹ 2500 for two approx.,25% Off
Aer,4.9,"Four Seasons Hotel, Worli",Multicuisine,₹ 3000 for two approx.,25% Off
Gigi,4.1,"Bandra West, Western Suburbs","European, Japanese",₹ 3100 for two approx.,25% Off
Golden Delicacy Restaurant & Banquets,3.3,"Malad West, Western Suburbs",Multicuisine,₹ 1000 for two approx.,25% Off
Si Nonna's - The Original Sourdough Pizza,4.5,"Bandra Kurla Complex (BKC), Western Suburbs",Italian,₹ 1700 for two approx.,25% Off
PCO,4.4,"Lower Parel, South Mumbai",Multicuisine,₹ 3000 for two approx.,25% Off :Payeazy
Luuma House,4.7,"Juhu, Western Suburbs","Chinese, Japanese",₹ 2000 for two approx.,25% Off
Ditas,4.5,"Lower Parel, South Mumbai",European,₹ 2500 for two approx.,25% Off
Ekaa,4.5,"Fort, South Mumbai",Modern Indian,₹ 4000 for two approx.,25% Off
Khyber,4.3,"Fort, South Mumbai  | View All(1) Outlets","North Indian, Mughlai",₹ 2500 for two approx.,25% Off
Papa Pancho da Dhaba,4.5,"Bandra West, Western Suburbs",North Indian,₹ 800 for two approx.,25% Off
Late Checkout,5.0,"Lower Parel, South Mumbai","European, Japanese",₹ 2500 for two approx.,25% Off
The Nutcracker,4.8,"Bandra Kurla Complex (BKC), Western Suburbs",Multicuisine,₹ 1800 for two approx.,25% Off
Mirage,4.2,"Krishna Curve, Juhu garden","Japanese, Asian",₹ 3500 for two approx.,25% Off
Ode,4.6,"Worli, South Mumbai",European,₹ 3000 for two approx.,25% Off
Bawri,4.6,"Bandra Kurla Complex (BKC), Western Suburbs",Regional Indian,₹ 1500 for two approx.,25% Off
The Nest,4.1,"Bandra West, Western Suburbs",Multicuisine,₹ 1800 for two approx.,25% Off
La Loca Maria,4.5,"Bandra West, Western Suburbs",Spanish,₹ 4000 for two approx.,25% Off
Los Cavos,4.6,"Bandra West, Western Suburbs",Peruvian,₹ 2000 for two approx.,25% Off
Estella,4.4,"Juhu, Western Suburbs",Pan Asian,₹ 3000 for two approx.,25% Off
Earth Cafe @ BKC,4.6,"Bandra Kurla Complex (BKC), Western Suburbs",European,₹ 1700 for two approx.,25% Off
Taj Mahal Tea House,4.7,"Bandra West, Western Suburbs",Multicuisine,₹ 1800 for two approx.,25% Off
Araku Coffee,5.0,"Colaba, South Mumbai","European, Desserts, Cafe",₹ 2000 for two approx.,25% Off
The Terreza Cafe,3.4,"Borivali West, Western Suburbs",Multicuisine,₹ 1350 for two approx.,25% Off
Fusion Ville,4.2,"Marol, Central Mumbai",Multicuisine,₹ 1200 for two approx.,30% Off + 25% Off
Cacao- A Restrobar,4.0,"Aralia International Airport, Mumbai","Indian, Italian, Mexican",₹ 1200 for two approx.,30% Off + 25% Off
Zytun- The Restaurant,4.3,"Hotel Metropolis, Mumbai",Multicuisine,₹ 1200 for two approx.,25% Off + 25% Off
